MATCHED_ON_CODE	MATCHED_ON_MARC	TITLE	CGP	OCLC_035	OCLC_019	RECORD_TYPE_TEXT	RECORD_TYPE_CODE	RECORD_FORMAT_TEXT	RECORD_FORMAT_CODE	BIB_LEVEL_TEXT	BIB_LEVEL_CODE	AGENCY_CLASS_1	AGENCY_CLASS_2	AGENCY_CLASS_3	AGENCY_NAME_1	AGENCY_NAME_2	AGENCY_NAME_3	SUDOC_1	SUDOC_2	SUDOC_3	ITEM_NUMBER_1	ITEM_NUMBER_2	ITEM_NUMBER_3	PUB_DATE	SHIPPING_LIST	ONLINE_EQUIV	ONLINE_EQUIV_OCLC	PURL_1	PURL_2	PURL_3	URL_1	URL_2	URL_3
Title statement	245	SSI in Washington state	000459005	34936898		Language material	a	No attempt to code	|	Monograph/item	m	SSA			Social Security Administration			SSA 1.19:SE 2/996/WA			0516-W			1996	96-0234-P.	FALSE							
Title statement	245	Pesticides in public supply wells of Washington state	000459891	35050507		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.127:122-96			0621-L	0621-L (online)		1996	1996-0340-P.	FALSE		https://purl.fdlp.gov/GPO/LPS4851					
Title statement; Varying form of title	245; 246	Work release: recidivism and corrections costs in Washington State	000467573	36332334		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 28.24:W 89			0718-A-03	0718-A-03 (online)		1996	1997-0120-P.	FALSE		https://purl.fdlp.gov/GPO/LPS91540					
Title statement	245	Landslides and landslide hazards in Washington State due to February 5-9, 1996 storm	000468907	36550813		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.2:L 22/3	I 19.2:L 22/3		0621			1997?	97-0131-P.	FALSE							
Title statement	245	Employment outcomes of indigent clients receiving alcohol and drug treatment in Washington state	000475574	37587767		Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 20.424:1			0497-D-34			1997	98-0320-P.	FALSE							
Title statement	245	What causes floods in Washington State?	000477346	37814575		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.127:228-96			0621-L			1997	98-0004-P.	FALSE							
Title statement	245	County portraits of Washington state	000480612	38254740		Language material	a	Microfiche	b	Monograph/item	m	A			Department of Agriculture			A 13.88:PNW-GTR-400			0083-B-06 (MF)			1997	1997-0868-M.	TRUE	873849288						
Title statement	245	Forecasting the cost of chemical dependency treatment under managed care: the Washington State study	000480642	38264384		Language material	a	Microfiche	b	Monograph/item	m	HE			Department of Health and Human Services			HE 20.415:15			0497-D-16 (MF)	0497-D-16 (online)		1995	1998-0196-M.	FALSE		https://purl.fdlp.gov/GPO/LPS84572					
Title statement	245	State automation systems study: site visit, November 10-12, 1993 : Washington state report.	000502704	41089375		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 98.2:AU 8/2/W 27	A 98.2:AU 8/2/W 27					1994		FALSE							
Title statement	245	Washington State's corrections clearinghouse: a comprehensive approach to offender employment	000508564	41963116		Language material	a	No attempt to code	|	Monograph/item	m	J			Department of Justice			J 28.30:W 27	J 28.30:W 27		0718-A-11			1999	99-0299-P.	FALSE							
Title statement	245	Guide to networking for K-12 schools: a project of the Washington State Office of the Superintendent of Public Instruction	000518481	43518534		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:430555	ED 1.310/2:430555		0466-A-03 (MF)			©1997	2000-0277-M.	FALSE							
Title statement; Varying form of title	245; 246	Ground-water quality data from the Abbotsford-Sumas aquifer of southwestern British Columbia and northwestern Washington State, February 1997	000526068	45036633		Language material	a	Microfiche	b	Monograph/item	m	I			Department of the Interior			I 19.76:99-244			0624-H (MF)			1999	2000-0879-M.	TRUE	903593420						
Title statement; Varying form of title	245; 246	Organizing for success: a study about mathematics assessment results in Washington state	000531052	46361270		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:435670	ED 1.310/2:435670		0466-A-03 (MF)			1999	2001-0157-M.	FALSE							
Title statement	245	Washington state services for children with deaf-blindness: final project report, October 1, 1995-September 30, 1999	000532805	46804090		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:437753	ED 1.310/2:437753		0466-A-03 (MF)			1999	2001-0168-M.	FALSE							
Title statement; Varying form of title	245; 246	Paying for the assistive technology you need: a consumer guide to funding sources in Washington state	000541049	49052850		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:447628	ED 1.310/2:447628		0466-A-03 (MF)			1999	2001-0483-M.	FALSE							
Title statement	245	Effects of the Washington State education reform on schools and classrooms	000543443	49794106		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:450136			0466-A-03 (MF)			2000	2002-0109-M.	FALSE							
Title statement	245	Effects of the Washington State education reform on schools and classrooms: initial findings	000543479	49802081		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:449577	ED 1.310/2:449577		0466-A-03 (MF)			2000	2002-0109-M.	FALSE							
Title statement	245	Washington State's corrections clearinghouse: a comprehensive approach to offender employment	000543810	49876642		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:450239	ED 1.310/2:450239		0466-A-03 (MF)			1999	2002-0121-M.	FALSE							
Title statement	245	Conversion of board foot scaled logs to cubic meters in Washington State, 1970-1998	000545131	50210947	50305302	Language material	a	No attempt to code	|	Monograph/item	m													2002		FALSE							
Title statement	245	Preliminary merged aeromagnetic map of southwest Washington [State]	000545484	50398116		Cartographic material	e	Microfiche	b	Monograph/item	m	I			Department of the Interior			I 19.76:95-211	I 19.76:95-211		0624-H (MF)			1995?	2002-0363-M.	FALSE							
Title statement	245	Preliminary merged aeromagnetic map of northwest Washington [State]	000545485	50398215		Cartographic material	e	Microfiche	b	Monograph/item	m	I			Department of the Interior			I 19.76:95-0212	I 19.76:95-0212		0624-H (MF)			1995?	2002-0363-M.	FALSE							
Title statement	245	School and classroom practices during two years of education reform in Washington state	000547458	50845532		Language material	a	Microfiche	b	Monograph/item	m	ED			Department of Education			ED 1.310/2:459194	ED 1.310/2:459194		0466-A-03 (MF)			2001	2002-0416-M.	FALSE							
Title statement	245	Air: Region 10's oversight of Washington state's air compliance and enforcement program.	000557835	53983020		Language material	a	Electronic	s	Monograph/item	m	EP			Environmental Protection Agency			EP 12.2:2004003438	EP 12.2:2004003438		0431-Z (online)			1998		FALSE		https://purl.fdlp.gov/GPO/LPS39461					
Title statement	245	Washington state crop insurance profile	000558867	54432880		Language material	a	Online	o	Serial	s	A			Department of Agriculture			A 62.66/47:			0123-C-47 (online)			19uu		FALSE		https://purl.fdlp.gov/GPO/LPS43717			https://www.rma.usda.gov/en/RMALocal/Washington/State-Profile		
Title statement	245	To examine the current situation regarding the discovery of a case of bovine spongiform encephalopathy in a dairy cow in Washington State as it relates to food safety, livestock marketing and international trade: hearing before the Committee on Agriculture, Nutrition, and Forestry, United States Senate, One Hundred Eighth Congress, second session, January 27, 2004.	000562610	55996032		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.AG 8/3:S.HRG.108-451	Y 4.AG 8/3:S.HRG.108-451		1032-C	1032-C (online)	1032-D (MF)	2004	2004-0226-P.	FALSE		https://purl.fdlp.gov/GPO/LPS52286					
Title statement	245	Compilation of 29 sonic and density logs from 23 oil test wells in western Washington State	000566771	41430741		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.76:98-249	I 19.76:98-249		0624-H (MF)	0624-H (online)		1998	99-0388-M, 99-0395-M (replacement).	FALSE		https://purl.fdlp.gov/GPO/LPS52606					
Title statement	245	Conversion of board foot scaled logs to cubic meters in Washington state, 1970-1998	000567750	50754624		Language material	a	Electronic	s	Monograph/item	m	A			Department of Agriculture			A 13.88:FPL-GTR-131	A 13.88:FPL-GTR-131		0083-B-06 (online)			2002		FALSE		https://purl.fdlp.gov/GPO/LPS23080					
Title statement	245	Map and data for Quaternary faults and folds in Washington State	000572955	56569053		Cartographic material	e	Electronic	s	Monograph/item	m	I			Department of the Interior			I 19.76:03-428			0624-H (online)			2003		FALSE		https://purl.fdlp.gov/GPO/LPS54105					
Title statement	245	Multidisciplinary investigation of stranded harbor porpoises (Phocoena phocoena) in Washington state with an assessment of acoustic trauma as a contributory factor (2 May - 2 June 2003)	000575671	57495345		Language material	a	Microfiche	b	Monograph/item	m	C			Department of Commerce			C 55.13/2:NMFS-NWR-34	C 55.13/2:NMFS-NWR-34		0208-C-04 (MF)			2004	2005-0092-M.	FALSE							
Title statement; Name of publisher, distributor, etc.	245; 260/264$b	Washington State annual report	000599246	122389996		Language material	a	Online	o	Serial	s	A			Department of Agriculture			A 114.1/47:			0034-B-47 (online)			200u		FALSE		https://purl.fdlp.gov/GPO/LPS46812					
Title statement	245	Digital representation of the Washington state geologic map: a contribution to the Interior Columbia River Basin Ecosystem Management Project	000615137	51048526		Language material	a	Electronic	s	Monograph/item	m	I			Department of the Interior			I 19.76:95-684			0624-H (online)			1996		FALSE		https://purl.fdlp.gov/GPO/LPS95398					
Title statement	245	Estimating the probability of elevated nitrate concentrations in ground water in Washington State	000617422	213370261		Language material	a	Electronic	s	Monograph/item	m	I			Department of the Interior			I 19.42/4-4:2008-5025			0624-B-02 (online)			2008		FALSE		https://purl.fdlp.gov/GPO/LPS97456					
Title statement	245	Ticketing aggressive cars and trucks in Washington state	000624275	256472373		Language material	a	Electronic	s	Monograph/item	m	TD			Department of Transportation			TD 8.63:312			0982-D-47 (online)			2006		FALSE		https://purl.fdlp.gov/GPO/LPS102830					
Title statement	245	CVISN electronic credentialing for commercial vehicles in Washington State: a case study : easier licensing and credentials processing for the motor carrier industry.	000625313	57436724	70151324	Language material	a	No attempt to code	|	Monograph/item	m	TD			Department of Transportation			TD 2.2:C 86						2004		TRUE	70151505						
Title statement	245	CVISN electronic credentialing for commercial vehicles in Washington State: a case study : easier licensing and credentials processing for the motor carrier industry.	000625314	70151505		Language material	a	Online	o	Monograph/item	m	TD			Department of Transportation			TD 2.2:C 86			0982-G-05 (online)			2004		FALSE		https://purl.fdlp.gov/GPO/gpo62378			http://www.itsdocs.fhwa.dot.gov/JPODOCS/REPTS_TE/13980.htm		
Title statement	245	Distribution of elevated nitrate concentrations in ground water in Washington state	000626313	244203493		Language material	a	Online	o	Monograph/item	m	I			Department of the Interior			I 19.127:2008-3063			0621-L (online)			2008		FALSE		https://purl.fdlp.gov/GPO/LPS104426			http://pubs.usgs.gov/fs/2008/3063/		
Title statement	245	Neah Bay rescue tug: report to the Washington State Legislature	000653706	648731603		Language material	a	Online	o	Monograph/item	m	C			Department of Commerce			C 55.2:N 24			0250-E-02 (online)			2000		FALSE		https://purl.fdlp.gov/GPO/LPS124005			http://www.darrp.noaa.gov/northwest/tenyo/pdf/ten0002.pdf		
Title statement; Varying form of title	245; 246	Reconstructed old-growth forest stand structure and composition of two stands on the Olympic Peninsula, Washington State	000662411	618229923		Language material	a	Electronic	s	Monograph/item	m	A			Department of Agriculture			A 13.78:PNW-RP-583			0083-B (online)			2010		FALSE		https://purl.fdlp.gov/GPO/LPS122305			http://www.fs.fed.us/pnw/pubs/pnw_rp583.pdf		
Title statement; Varying form of title	245; 246	Reconstructed old-growth forest stand structure and composition of two stands on the Olympic Peninsula, Washington State	000662413	503006774		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.78:PNW-RP-583						2010		TRUE	618229923						
Title statement	245	Nomination of Jerome K. Kuykendall to Federal Power Commission: hearing, 83d Congress, 1st session, on nomination of Jerome K. Kuykendall, of Washington [state], to be member of Federal Power Commission for remainder of term expiring June 22, 1957, Apr. 22, 1953.	000662467			Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.IN 8/3:K 96						1953		FALSE							
Title statement	245	Nomination of Jerome K. Kuykendall to Federal Power Commission: hearings, 85th Congress, 1st session, on nomination of Jerome K. Kuykendall of Washington [state], to be member of Federal Power Commission for term of 5 years expiring June 22, 1962 (reappointment), June 18-July 16, 1957.	000662470			Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.IN 8/3:K 96/957			1041			1957		FALSE							
Title statement	245	Mineral and water resources of Washington: report prepared by the United States Geological Survey in collaboration with the Washington State Department of Conservation Division of Mines and Geology and the United States Bureau of Reclamation and other agencies at the request of Senator Henry M. Jackson, Chairman of the Committee on Interior	000664380	6633999		Language material	a	No attempt to code	|	Monograph/item	m	Y			Congress			Y 4.IN 8/13:M 66/28						1966		FALSE							
Title statement	245	Distribution of elevated nitrate concentrations in ground water in Washington state	000679483	701107881		Language material	a	No attempt to code	|	Monograph/item	m	I			Department of the Interior			I 19.127:2008-3063						2008		FALSE							
General note; Title statement	500; 245	Skagit: [wild study of Skagit, Cascade, Sauk, Suiattle Rivers in Washington State for possible inclusion in National Wild and Scenic River System : [with bibliography].	000694012			Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 13.2:SK 1			0084			1975		FALSE							
General note; Title statement	500; 245	Public investments and population changes in 3 rural Washington state towns: [with list of references	000698593			Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 1.107:236			0042-C			1973		FALSE							
Title statement	245	Report: assessment of work incentive program in Washington State, Department of Health, Education, and Welfare, Department of Labor	000698776			Language material	a	No attempt to code	|	Monograph/item	m	GA			Government Accountability Office			GA 1.13:W 89/8						1974		FALSE							
Title statement	245	Looking back with pleasure, looking ahead with concern: address by Commissioner James V. Day, member of Federal Maritime Commission, before Alumni Association at Washington State Teachers College, Machias, Maine, June 9, 1962.	000699929			Language material	a	No attempt to code	|	Monograph/item	m	FMC			Federal Maritime Commission			FMC 1.9:62-9						1962		FALSE							
Title statement	245	Federal orders as they affect current problems in the dairy industry: talk ...., at annual convention of the Washington State Dairy Foundation, Vancouver, B.C., September 28-30, 1960.	000718180	794038576		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 88.22:F 76/24						1960		FALSE							
Title statement; Added entry--corporate name	245; 710	Measuring effect of promotional programs on sales of apples and other selected agricultural commodities: address ....to officials of Washington State Apple Commission's Marketing Advisory Committee, Wenatchee, Wash., Nov. 10, 1959.	000718537	1038784855		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 88.22:H 38						1959		FALSE							
Title statement	245	Role of grade standards in marketing livestock and meat: remarks ....., at 10th annual Washington State University stockmen's short course, Pullman, Wash., Dec. 11, 1959.	000719377	979729070	980269553	Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 88.22:P 61/3						1959		FALSE							
Title statement	245	Adapting federal market reporting to changing system in livestock marketing: remarks ..... , at 10th annual Washington State University stockmen's short course, Pullman, Wash., Dec. 9, 1959.	000719401	1017546554		Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 88.22:P 61/4						1959		FALSE							
Title statement	245	Carlot shipments of fruits and vegetables in Washington [State] during 1953	000719805	979572739	980007898	Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 88.2:F 94/6						1954		FALSE							
Title statement	245	New concepts in development of universities as technological centers, State Technical Service Act of 1965: address by Paul J. Grogan, Director, Office of State Technical Services, Department of Commerce, prepared for delivery at 74th annual meeting of American Society for Engineering Education, Washington State University, Pullman, Wash., June 23, 1966.	000722649			Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 1.18:G 89						1966		FALSE							
Title statement	245	Some problems in assessing farmland in rural urban fringe: by Frederick D. Stocker, to be presented at conference of Washington State Association of Assessors, Spokane, Wash., Sept. 12, 1961.	000723021			Language material	a	No attempt to code	|	Monograph/item	m	A			Department of Agriculture			A 93.22:ST 6/2						1961		FALSE							
Title statement	245	Address by Secretary of Commerce Luther H. Hodges at opening banquet of 10th anniversary, Washington State International Trade Fair, Seattle, Wash., Apr. 20, 1961	000723066			Language material	a	No attempt to code	|	Monograph/item	m	C			Department of Commerce			C 1.18:H 66/9						1961		FALSE							
Title statement	245	Managing intake process in income maintenance [in Washington State and Hennepin County, Minn.]	000737816			Language material	a	No attempt to code	|	Monograph/item	m	HE			Department of Health and Human Services			HE 17.408/2:IN 2			0512-B-02			1974		FALSE							
Title statement	245	Washington, statesman in his home county	000743737			Language material	a	No attempt to code	|	Monograph/item	m	S			Department of State			S 1.2:W 27/2						1937		FALSE							
